Obeye,Greater Accra,Ghana,5.75,-0.03,
Obeyie,Greater Accra,Ghana,5.68,-0.34,
Obiliakua,Greater Accra,Ghana,5.7,-0.52,
Oblogo,Greater Accra,Ghana,5.56,-0.31,
Oboasi,Greater Accra,Ghana,5.8,-0.53,
Obodakawa,Greater Accra,Ghana,5.69,-0.6,
Obokwashi,Greater Accra,Ghana,5.73,-0.42,
Obologo,Greater Accra,Ghana,5.56,-0.31,
Obome,Greater Accra,Ghana,5.8,-0.2,
Obotumfo,Greater Accra,Ghana,5.58,-0.58,
Obrakrawa,Greater Accra,Ghana,5.69,-0.6,
Obrakyere,Greater Accra,Ghana,5.66,-0.58,
Obuasi,Greater Accra,Ghana,5.73,-0.25,
Obutu,Greater Accra,Ghana,5.51,-0.51,
Ochirekumfo,Greater Accra,Ghana,5.78,-0.25,
Odawmo,Greater Accra,Ghana,5.53,-0.59,
Odenki,Greater Accra,Ghana,5.65,-0.47,
Odominadzi,Greater Accra,Ghana,5.48,-0.59,
Odomponiasi,Greater Accra,Ghana,5.77,-0.58,
Odorkor,Greater Accra,Ghana,5.5755947,-0.270588,
Odotum,Greater Accra,Ghana,5.6,-0.53,
Odumase,Greater Accra,Ghana,5.67,-0.31,
Odumase Number 1,Greater Accra,Ghana,5.76,-0.58,
Odumasi,Greater Accra,Ghana,5.76,-0.58,
Oduntia,Greater Accra,Ghana,5.72,-0.39,
Odupon,Greater Accra,Ghana,5.59,-0.45,
Oduponkpehe,Greater Accra,Ghana,5.53,-0.42,
Odwobi,Greater Accra,Ghana,5.48,-0.53,
Ofada,Greater Accra,Ghana,5.73,-0.54,
Ofagyato Nyamebedzi,Greater Accra,Ghana,5.65,-0.52,
Ofankor,Greater Accra,Ghana,5.66,-0.27,
Official Town,Greater Accra,Ghana,5.59,-0.26,
Ogbojo,Greater Accra,Ghana,5.67,-0.14,
Okponglo,Greater Accra,Ghana,5.64,-0.18,
Old Damsoman,Greater Accra,Ghana,5.53,-0.25,
Old Fadama,Greater Accra,Ghana,5.55,-0.22,
Old Ningo,Greater Accra,Ghana,5.7597699,-0.1757596,
Opeikuma,Greater Accra,Ghana,5.56,-0.48,
